LakeName,Lake Ab.,Country of Lake,Latitude,Longitude,Study,Lake Area (m^2),Watershed Area* (m^2),Trees,Grass,Flooded Vegetation,Crops,Scrub/shrub,Built Area,Bare Ground,Snow/Ice,Clouds,Rangeland
Tikitapu,TIK,New Zealand,-38.12,176.333,Pilla,1406595.98,4639815.71,0.9686,0,0,0,0,0.0113,0,0,0,0.0201
Greenvale,GRE,Australia,-37.63,144.9,Sharma,1722540.69,12086753.27,0.0114,0,0.0025,0.0449,0,0.5313,0,0,0,0.4098
Burley-Griffin,BG,Australia,-35.29874,149.07303,Pilla,6365451.87,1870100455.28,0.498,0,0.0005,0.0162,0,0.086,0.0008,0,0,0.3986
Happy.Valley,HAV,Australia,-35.07,138.57,Sharma,1532268.13,15195874.12,0.1864,0,0,0.0005,0,0.6866,0.008,0,0,0.1185
Hope.Valley,HOV,Australia,-34.85,138.68,Sharma,548901.77,2091481.35,0.1948,0,0,0,0,0.7397,0.0015,0,0,0.064
Little.Para,LP,Australia,-34.75,138.72,Sharma,797122.45,85122250.20,0.1469,0,0,0.0455,0,0.1752,0.0002,0,0,0.6322
North Pine,NP,Australia,-27.26405,152.93585,Pilla,15928977.75,338432258.00,0.6994,0,0,0.0032,0,0.0797,0.0004,0,0,0.2172
Lugano.South,LS,Switzerland and Italy,45.958611,8.893611,Pilla,48582294.75,577904820.37,0.5874,0,0,0.0041,0,0.1342,0.0565,0.0005,0,0.2174
Middle,MID,Canada,46.43,-81.02,Sharma,284579.72,2791441.38,0.2208,0,0,0,0,0.1834,0,0,0,0.5957
Hannah,HAN,Canada,46.44,-81.03,Sharma,277653.03,71193356.50,0.1408,0,0.0114,0.0023,0,0.3294,0.034,0,0,0.4821
Lower Lake Zurich,LLZ,Switzerland,47.3,8.6,Pilla,83505249.08,435881639.70,0.2868,0,0,0.2654,0,0.2504,0.0164,0,0,0.1809
Greifensee,GRF,Switzerland,47.35,8.67,Sharma,803835.68,134475377.95,0.1873,0,0.0012,0.5298,0,0.243,0.0075,0,0,0.0316
Muggelsee,MUG,Germany,52.435,13.659,Pilla,19820064.91,45763295.36,0.7356,0,0.0002,0,0,0.2608,0.0002,0,0,0.0033
Saimaa,SAI,Finland,61.08,28.26,Sharma,4449643044.21,51163663418.11,0.852,0,0.0012,0.0438,0,0.0155,0.0005,0.0001,0,0.087
Kallavesi,KAL,Finland,62.9,27.73,Sharma,76671377.36,2499735151.49,0.87,0,0.0006,0.0202,0,0.0365,0.0005,0,0,0.0722
