row_id,lake_id,name,perag,perdev,perwater,perfor,perwet,pergrass,pershrub,comment
1,1,Washington,0.84,48.97,2.2,41.23,2,0.76,3.76,NA
2,2,Sammamish,1.56,37.11,0.44,54.35,1.92,1.21,2.68,NA
3,7,Neversink Reservoir,0.78,0.53,0,93.44,0.56,0.17,0.27,NA
4,8,Cannonsville Reservoir,16.23,1.74,0.07,64,0.64,1.34,1.03,NA
5,15,Kezar Lake - Upper Bay,0.7,2.4,1.61,89.48,4.38,0.3,1.12,NA
6,16,Kezar Lake - Lower Bay,0.7,2.4,1.61,89.48,4.38,0.3,1.12,NA
7,17,Cushman Pond,0.17,0.42,6.29,89.6,3.19,0,0.32,NA
8,18,Heald Pond,0.68,2.52,3.06,88.53,3.35,0.28,1.58,NA
9,19,Farrington Pond,0,0,0.98,93.22,4.61,0.14,1.05,NA
10,20,Horseshoe Pond,0.17,0.71,1.9,95.81,1.17,0,0.25,NA
11,21,Bauneg Beg Lake,5.62,15.09,1.08,59.04,15.22,0.22,3.61,Looks like large percentage woody wetlands
12,22,Sabbathday Lake,6.24,6.48,4.26,72.23,8.67,0.38,1.43,NA
13,25,Jordan Pond,0,6.43,1.79,57.46,2.95,7.73,23.65,NA
14,26,Allequash,0.27,4.37,13.37,60.14,17.62,0.58,3.64,NA
15,27,Big Muskellunge,0.41,5.99,5.77,73.63,12.98,0.22,1.01,NA
16,28,Crystal Bog,0,24.44,1.33,33.78,40.44,0,0,NA
17,29,Crystal Lake,0.6,5.54,3.98,77.23,12.2,0.17,0.28,NA
18,30,Fish Lake,53.32,6.06,13.75,24.51,0.55,0.49,1.22,NA
19,31,Lake Mendota,67,22.46,1,4.73,3.6,0.44,0.59,NA
20,32,Lake Monona,56.03,28.41,6.62,4.47,3.4,0.4,0.52,NA
21,33,Sparkling,0,11.26,8.01,53.68,21.08,0,5.98,NA
22,35,Trout,0.32,5.64,12.17,55.2,22.31,0.37,3.98,NA
23,36,Lake Wingra,3.31,76.81,0,10.12,9.75,0.01,0,NA
24,37,Bubble Pond,0,2.79,1.57,70.29,3.3,5.03,17.01,NA
25,38,Eagle,0,9.14,4.23,70.95,3.63,1.9,10.15,NA
26,39,Irvine,72.79,4.08,3.4,1.07,7.4,11.25,0,NA
27,55,Annie,NA,NA,NA,NA,NA,NA,NA,NA
28,56,Big Moose,0.15,0.57,3.59,79.9,1.56,0.23,2.57,NA
29,57,Brooktrout,0,0.83,1.09,90.58,0,0,0,NA
30,58,Carry,0,2.1,2.8,65.73,2.1,0,0.7,NA
31,59,Cascade,0.16,0.35,0.81,72.37,0.94,0.3,7.43,NA
32,60,Constable,0.03,0.49,4.26,79.52,0.27,0.12,2.75,NA
33,61,Dart,0.15,0.56,7.56,75.79,1.54,0.22,2.67,NA
34,62,G,0.02,0.33,0.18,93.85,0.02,0,0.35,NA
35,63,Grass,0.03,0.13,0,90.95,0.17,0.2,2.21,NA
36,64,Indian,0.11,0.47,1.07,87.22,1.78,0.18,0.69,NA
37,65,Jockeybush,0,0.75,0.06,91.95,0,0,0.13,NA
38,66,Limekiln,0.05,0.96,3.57,84.85,0.42,0.07,1.38,NA
39,67,Long,0,2.1,0,85.63,0,0,0,NA
40,68,Moss,0.2,0.34,4.33,73.11,1.9,0.26,5.09,NA
41,69,North,0.2,0.21,0.73,85.21,2.6,0.29,1.93,NA
42,70,Rondaxe,0.16,0.54,7.08,74.64,1.78,0.25,3.08,NA
43,71,Round,NA,NA,NA,NA,NA,NA,NA,NA
44,72,Sagamore,0.14,0.1,0.32,91.94,1.22,0.13,0.92,NA
45,73,South,0.12,0.45,0.7,87.63,1.08,0.19,1.62,NA
46,74,Squaw,0.1,1.13,0.56,81.13,0.56,0,1.43,NA
47,76,Giles,0.63,11.79,0,61.61,1.63,0.31,0.25,NA
48,77,Lacawac,0.7,2.23,0,64.16,11.44,0.7,0.42,NA
49,78,Sunapee 200,1.67,5.53,4.32,65.98,2.94,0.69,0.93,
50,79,Sunapee 210,1.67,5.53,4.32,65.98,2.94,0.69,0.93,
51,80,Bilby Ranch,51.53,3.37,1.73,1.94,0.55,40.88,0,NA
52,81,Binder,28.53,40.52,0.36,29.21,0.24,0.24,0.59,NA
53,82,Blind Poney,66.01,4.66,0.65,22.46,0.71,4.69,0.82,NA
54,83,Bowling Green,40.77,4.62,0.47,53.58,0.34,0.22,0,NA
55,84,Brookfield,72.78,9.42,5.15,9.53,0.41,0,2.71,NA
56,85,Capri,0,36.1,4.14,58.11,1,0.65,0,NA
57,86,Clearwater,5.4,3,0.32,87.07,0.51,1.27,1.84,NA
58,87,Council Bluff,0.66,1.71,0.19,96.24,0.01,0.06,1.12,NA
59,88,Forest Lake,10.48,8.03,1.75,71.79,0.21,6.32,1.41,NA
60,89,McDaniel,51.65,6.59,3.19,35.58,0.74,0.8,1.04,NA
61,90,Paho,68.06,5.16,1.35,23.93,0.72,0.74,0.04,NA
62,91,Rain Tree,50.17,46.94,0.41,2.24,0.12,0.05,0.07,NA
63,92,Shayne,13.33,21.35,1.9,62.56,0,0.85,0,NA
64,93,Smithville,78.51,7.1,1.2,10.07,1.82,0.83,0.35,NA
65,94,Stockton,56.52,7.02,0.35,33.32,0.73,0.76,0.99,NA
66,95,Table Rock,NA,NA,NA,NA,NA,NA,NA,NA
67,96,Truman,NA,NA,NA,NA,NA,NA,NA,NA
68,97,Vandalia,81.99,6.48,2.39,5.89,1.51,1.46,0.29,NA
69,98,Viking,68.43,10.46,1.37,17.63,0.42,1.67,0.02,NA
70,114,Delavan,73.04,18.17,0.87,6.26,1.45,0.1,0.05,NA
71,115,Flathead,NA,NA,NA,NA,NA,NA,NA,NA
72,116,Powers,43.56,18.01,1.31,18.6,14.39,3.95,0,NA
73,117,Texoma,NA,NA,NA,NA,NA,NA,NA,NA
74,118,T Bird,NA,NA,NA,NA,NA,NA,NA,NA
75,119,Eucha,45.54,5.37,0.09,45.12,0.2,3.43,0.19,NA
