"","lakeID","slope","slope.p","Country.of.Lake","Latitude","Longitude","Lake.Area..m.2.","MaxDepth_m","perag","perdev","perfor"
"1","Washington",6.46933686359712e-06,0.0432,"USA",47.6215,-122.2558,87600000,65,0.0084,0.4897,0.4123
"2","Sammamish",4.80451609136118e-06,0.2613,"USA",47.6085,-122.0878,19800000,32,0.0156,0.3711,0.5435
"3","Maggiore",-2.1080207989819e-07,0.8921,"Italy",45.944,8.631,212500000,370,0.3312,0.0643,0.5315
"4","Neversink Reservoir",4.30619337656828e-06,0.2393,"USA",41.8222,-74.6424,6041000,51.3,0.0078,0.0053,0.9344
"5","Cannonsville Reservoir",1.22065714874436e-07,0.9639,"USA",42.0661,-75.3748,19072000,44.7,0.1623,0.0174,0.64
"6","Kezar Lake - Upper Bay",1.41862690238016e-05,0.0016,"USA",44.2263,-70.8976,10780000,49,0.007,0.024,0.8948
"7","Kezar Lake - Lower Bay",-4.07401119484159e-06,0.2971,"USA",44.1577,-70.9275,10780000,49,0.007,0.024,0.8948
"8","Cushman Pond",2.09155872732949e-06,0.9441,"USA",44.2197,-70.8317,150000,6,0.0017,0.0042,0.896
"9","Heald Pond",6.454772271474e-05,0.3022,"USA",44.2158,-70.8676,430000,5,0.0068,0.0252,0.8853
"10","Farrington Pond",4.20817432404707e-05,0.6024,"USA",44.1781,-70.9269,230000,5,0,0,0.9322
"11","Horseshoe Pond",1.09473928035207e-05,0.3373,"USA",44.2278,-70.9401,550000,12,0.0017,0.0071,0.9581
"12","Bauneg Beg Lake",1.24519930855077e-05,0.5913,"USA",43.3652,-70.7383,809000,8.8,0.0562,0.1509,0.5904
"13","Sabbathday Lake",3.44969705954029e-05,0,"USA",43.9793,-70.3516,1380000,18,0.0624,0.0648,0.7223
"14","Jordan Pond",4.27130841233368e-06,0.6318,"USA",44.3327,-68.2552,757000,45.7,0,0.0643,0.5746
"15","Allequash",1.71265256542241e-06,0.3022,"USA",46.0367,-89.6291,1684000,8,0.0027,0.0437,0.6014
"16","Big Muskellunge",1.92082742338671e-06,0.2114,"USA",46.0162,-89.6135,3963000,21.3,0.0041,0.0599,0.7363
"17","Crystal Bog",8.36778538327905e-06,0.0032,"USA",46.0076,-89.6063,5000,2.5,0,0.2444,0.3378
"18","Crystal Lake",1.25435378305926e-06,0.3382,"USA",46.0018,-89.6136,367000,20.4,0.006,0.0554,0.7723
"19","Fish Lake",1.42694604089978e-05,0.0054,"USA",43.2872,-89.6531,874000,18.9,0.5332,0.0606,0.2451
"20","Lake Mendota",1.24314450015536e-05,0.0183,"USA",43.1113,-89.4255,39610000,25.3,0.67,0.2246,0.0473
