LakeName,Country.of.Lake,Latitude,Longitude,SurfaceArea_ha,MaxDepth_m,Lake.Ab.,Bare ground,Built Area,Clouds,Crops,Flooded Vegetation,Grass,Rangeland,Scrub.shrub,Snow.ice,Trees,Lake.Area..m.2.,Study
Blelham Tarn,United Kingdom,54.396,-2.978,11,14.5,BLE,0,2.00E-04,0,0,0,0,0.7512,0,0,0.2487,110000,Pilla
Heney,Canada,45.1283,-79.1018,21.4,5.8,HEN,0.001,0,0,0.0013,0,0,0.0194,0,0,0.9783,214000,Pilla
IISD Experimental Lake 373,Canada,49.7449,-93.7987,27.3,20.75,ELA,0,0,0,0,0,0,0,0,0,1,273000,Pilla
Tikitapu,New Zealand,-38.195,176.3299,139.9,27.5,TIK,0,0.0114,0,0,0,0,0.0202,0,0,0.9684,1399000,Pilla
Naroch,Belarus,54.8459,26.7686,7660,24.8,NAR,0,0.0669,0,0.0548,0.0026,0,0.1035,0,0,0.7722,76600000,Pilla
Iseo,Italy,45.7167,10.0833,6530,256,ISO,0,0.0741,0,0,0.5667,0,0.2914,0,0.0678,0,65300000,Pilla
Kortowskie,Poland,53.7612,20.4454,89.7,17.2,KOR,4.00E-04,0.2558,0,0.1576,0,0,0.0683,0,0,0.5179,897000,Jane
Stensj/xf6n,Sweden,59.1823,18.3112,39,21,STE,0,0,0,0,0,0,0.392,0,0,0.608,390000,Pilla
Kivu,DR Congo,-2.0448,29.1856,237000,480,KIV,0.1357,0,0,0.2078,0,0,0.2432,0,0,0.4133,2370000000,Pilla
Maggiore,Italy,45.95,8.63,21250,370,MAG,0.0424,0.0643,0,0.0064,2.00E-04,0,0.3248,0,0.0305,0.5315,212500000,Pilla
Gyslattasjon,Sweden,57.1106,14.4794,32,10,GYS,0,0.0067,0,0,0,0,0.0552,0,0,0.9381,320000,Jane
Wascana,Canada,50.45,-104.609,50,3,WAS,0.0581,0.9091,0,0,0,0,0.0328,0,0,0,500000,Jane
Taupo,New Zealand,-38.8006,175.9012,61600,160,TAU,0,1.00E-04,0,0.0129,0.0208,0.0015,0,0.0111,0.2622,0.6914,616000000,Pilla
Last Mountain,Canada,51.083,-105.23,22660,30.8,MOU,9.00E-04,0.0595,0,0.0069,0,0,0.0345,0,0.0152,0.8829,226600000,Jane
Rimov Reservoir,Czech Republick,48.8489,14.4912,180,42,RIM,1.00E-04,0.0361,0,0.2071,0,0,0.1824,0,0,0.5742,1800000,Jane
